299.000	0.466	0.785	1.078	0.696
300.000	0.468	0.783	1.079	0.689
301.000	0.467	0.792	1.082	0.701
302.000	0.471	0.791	1.082	0.695
303.000	0.471	0.797	1.095	0.703
304.000	0.472	0.793	1.094	0.706
305.000	0.481	0.808	1.113	0.711
306.000	0.475	0.805	1.124	0.709
307.000	0.480	0.800	1.112	0.708
308.000	0.488	0.814	1.138	0.716
309.000	0.488	0.815	1.137	0.716
310.000	0.490	0.813	1.157	0.721
311.000	0.497	0.818	1.161	0.721
312.000	0.495	0.815	1.150	0.726
313.000	0.498	0.827	1.171	0.737
314.000	0.499	0.827	1.163	0.736
315.000	0.498	0.823	1.168	0.728
316.000	0.501	0.826	1.180	0.738
317.000	0.502	0.833	1.195	0.745
318.000	0.508	0.829	1.199	0.741
319.000	0.510	0.840	1.208	0.747
320.000	0.506	0.832	1.192	0.747
321.000	0.512	0.848	1.206	0.756
322.000	0.514	0.845	1.195	0.758
323.000	0.519	0.854	1.233	0.760
324.000	0.522	0.854	1.233	0.762
325.000	0.525	0.854	1.222	0.764
326.000	0.525	0.859	1.231	0.765
327.000	0.531	0.867	1.249	0.775
328.000	0.531	0.870	1.242	0.772
329.000	0.534	0.866	1.259	0.774
330.000	0.533	0.872	1.274	0.775
331.000	0.537	0.879	0.914	0.782
332.000	0.538	0.875	0.912	0.781
333.000	0.544	0.877	0.906	0.786
334.000	0.542	0.885	0.926	0.792
335.000	0.545	0.885	0.920	0.795
336.000	0.551	0.893	0.931	0.803
337.000	0.548	0.885	0.941	0.797
338.000	0.553	0.899	0.956	0.816
339.000	0.553	0.902	0.962	0.810
340.000	0.554	0.907	0.964	0.815
341.000	0.560	0.905	0.963	0.811
342.000	0.573	0.903	0.963	0.820
343.000	0.568	0.915	0.981	0.827
344.000	0.575	0.916	0.993	0.824
345.000	0.578	0.915	0.984	0.833
346.000	0.576	0.924	0.999	0.831
347.000	0.583	0.926	0.994	0.839
348.000	0.583	0.923	0.998	0.840
349.000	0.587	0.937	1.019	0.850
350.000	0.591	0.938	1.026	0.858
351.000	0.591	0.937	1.003	0.854
352.000	0.277	0.945	1.035	0.857
353.000	0.279	0.939	1.022	0.861
354.000	0.285	0.959	1.033	0.869
355.000	0.283	0.953	1.046	0.868
